"","x","y","ID"
"1",100,810,"100_810"
"2",1004,624,"1004_624"
"3",1007,262,"1007_262"
"4",1013,1298,"1013_1298"
"5",1081,1817,"1081_1817"
"6",1127,1615,"1127_1615"
"7",1139,912,"1139_912"
"8",1164,240,"1164_240"
"9",1168,327,"1168_327"
"10",117,1186,"117_1186"
"11",1175,1281,"1175_1281"
"12",1189,972,"1189_972"
"13",1211,660,"1211_660"
"14",1226,1809,"1226_1809"
"15",1232,1047,"1232_1047"
"16",1233,1204,"1233_1204"
"17",1237,48,"1237_48"
"18",1239,1933,"1239_1933"
"19",1264,1293,"1264_1293"
"20",1277,482,"1277_482"
"21",1301,1108,"1301_1108"
"22",1306,1682,"1306_1682"
"23",1348,1203,"1348_1203"
"24",1355,808,"1355_808"
"25",14,883,"14_883"
"26",1405,693,"1405_693"
"27",1460,513,"1460_513"
"28",1462,1783,"1462_1783"
"29",1493,62,"1493_62"
"30",1507,618,"1507_618"
"31",1518,853,"1518_853"
"32",1528,1970,"1528_1970"
"33",1534,704,"1534_704"
"34",1544,267,"1544_267"
"35",1599,130,"1599_130"
"36",1601,1060,"1601_1060"
"37",1606,762,"1606_762"
"38",1630,1153,"1630_1153"
"39",1638,1424,"1638_1424"
"40",1653,2002,"1653_2002"
"41",1656,23,"1656_23"
"42",1668,398,"1668_398"
"43",1684,450,"1684_450"
"44",1699,114,"1699_114"
"45",1716,1428,"1716_1428"
"46",1746,1949,"1746_1949"
"47",1750,190,"1750_190"
"48",1779,425,"1779_425"
"49",1779,540,"1779_540"
"50",178,1540,"178_1540"
"51",1802,774,"1802_774"
"52",1825,1677,"1825_1677"
"53",1866,1223,"1866_1223"
"54",1932,38,"1932_38"
"55",1936,421,"1936_421"
"56",1954,1325,"1954_1325"
"57",1979,503,"1979_503"
"58",226,85,"226_85"
"59",240,653,"240_653"
"60",245,499,"245_499"
"61",260,1072,"260_1072"
"62",276,924,"276_924"
"63",288,1690,"288_1690"
"64",346,540,"346_540"
"65",352,410,"352_410"
"66",381,1854,"381_1854"
"67",412,873,"412_873"
"68",414,1322,"414_1322"
"69",466,1778,"466_1778"
"70",475,508,"475_508"
"71",482,776,"482_776"
"72",504,241,"504_241"
"73",510,607,"510_607"
"74",556,22,"556_22"
"75",572,1360,"572_1360"
"76",646,682,"646_682"
"77",651,1866,"651_1866"
"78",66,704,"66_704"
"79",672,803,"672_803"
"80",674,172,"674_172"
"81",680,300,"680_300"
"82",699,1353,"699_1353"
"83",718,603,"718_603"
"84",722,944,"722_944"
"85",749,851,"749_851"
"86",758,414,"758_414"
"87",771,1776,"771_1776"
"88",78,473,"78_473"
"89",781,54,"781_54"
"90",831,1322,"831_1322"
"91",894,1579,"894_1579"
"92",905,548,"905_548"
"93",906,30,"906_30"
"94",928,718,"928_718"
"95",98,629,"98_629"
"96",994,812,"994_812"
"97",995,1986,"995_1986"
